character,dialog
Harry Potter,Griphook! Griphook!
Harry Potter,Come on!
Harry Potter,We're dropping!
Harry Potter,He knows.
Harry Potter,I saw him.
Harry Potter,"I can't always help it, Hermione!"
Harry Potter,He's angry. But he's scared too. He's going to make sure the other Horcruxes are safe.
Harry Potter,I reckon he'll do anything to stop us from finding the rest. There's more: one of them's at Hogwarts.
Harry Potter,"Honestly, Hermione, when have any of our plans actually worked? We plan, we get there and all hell breaks loose."
Harry Potter,We'll go to Hogsmeade. To Honeydukes. Take the secret passage in the cellar.
Harry Potter,"There's something wrong with him. In the past, I could always follow his thoughts. Now everything feels disconnected."
Harry Potter,"No. It's more like he's wounded. If anything, he feels more"
Harry Potter,Expecto Patronum!
Harry Potter,You're Aberforth.
Harry Potter,Dumbledore's brother. It's you I've been seeing -- here. It's
Harry Potter,He's dead.
Harry Potter,Dung had no right selling you that. It belonged to --
Harry Potter,We need to get into Hogwarts. Dumbledore gave us a job to do.
Harry Potter,We've been hunting Horcruxes. We think the last one's in the school. But we'll need your help getting in.
Harry Potter,"If we can find it and kill it, then we kill him, and then we can end this war once and for all. We need to get into Hogwarts tonight."
Harry Potter,"Dumbledore trusted me, to see this through."
Harry Potter,Why should he...
Harry Potter,I only care about the Dumbledore I knew. I trusted him.
Harry Potter,I had no reason not to —-
Harry Potter,You're drunk.
Harry Potter,Where've you sent her?
Harry Potter,"Neville, you look..."
Harry Potter,The Carrows?
Harry Potter,"Okay. There's something we need to find, something hidden here in the castle. It could help us defeat You-Know-Who."
Harry Potter,We don't know.
Harry Potter,I realize it's not much to go on.
Harry Potter,"I think it might have something to do with Ravenclaw. It would be small, easy to conceal, valuable. Any ideas?"
Harry Potter,"Hey there. Ron smiles, about to speak, then notices Ginny's eyes have not left Harry. He frowns, speaks to Hermione."
Harry Potter,I think I can help you out with that... -.. Harry appears.
Harry Potter,And I'm afraid it's rather extensive.
Harry Potter,How dare you stand where he stood.
Harry Potter,"Tell them how it was that night. Tell then how you looked him in the eye, a man who trusted you... and killed him. Tell them!"
Harry Potter,I'm a Gryffindor.
Harry Potter,Time. As much as you can give me.
Harry Potter,"Is that possible, Professor?"
Harry Potter,I think you're right.
Harry Potter,"You, too, Professor."
Harry Potter,Okay. But take this. That way you can find me when you get back.
Harry Potter,"Ravenclaw Common Room. Got to start somewhere. Hermione nods, slips the Map in her beaded bag and she and Ron head off. Just before they turn the corner, Ron looks back, holds Harry's glance briefly... and then is"
Harry Potter,"I'm a bit preoccupied right now, Luna."
Harry Potter,"We'll talk later, Luna."
Harry Potter,Later.
Harry Potter,"Okay, Luna. Who've you got in mind?"
Harry Potter,It's you...
Harry Potter,"You're the Grey Lady, the ghost of Ravenclaw Tower."
Harry Potter,"I'm sorry. It's Helena, isn't it? Helena Ravenclaw. Rowena's daughter. Luna told me."
Harry Potter,Yes. She thought you might be able to help me.
Harry Potter,Yes! That's right --
Harry Potter,Wait! Please!
Harry Potter,But I don't care about its powers! Honestly --
Harry Potter,I don't seek it for myself! You have to believe me!
Harry Potter,I want to destroy it.
Harry Potter,"That's what you want, isn't it, Helena? You want it destroyed."
Harry Potter,"I'll end your pain, Helena. Tell me where it is and I'll destroy it, I swear, on my mother's memory —-"
Harry Potter,Tom Riddle --
Harry Potter,He's lied to many people --
Harry Potter,Thank you... -.. then turning...
Harry Potter,Thank you... -.. then running.
Harry Potter,Ginny! Neville! You alright?
Harry Potter,Luna -- ?
Harry Potter,I could ask you the same.
Harry Potter,I remember.
Harry Potter,What's wrong with the one you have?
Harry Potter,Why didn't you tell her?
Harry Potter,Bellatrix. You knew it was me. But you didn't say anything.
Harry Potter,No. I don't think so...
Harry Potter,"Besides, its allegiance is to me now. If you want it, you'll have to win it back. Perhaps even kill me..."
Harry Potter,Expelliarmus!
Harry Potter,Well done. Let's find Ron and get out of here.
Harry Potter,Split up!
Harry Potter,"No, it''ll just follow us!"
Harry Potter,Here! Take one!
Harry Potter,Wait! What about Malfoy and Blaise!
Harry Potter,"Ron, you once asked me if I thought he felt it -- Voldemort -- when we destroy a Horcrux, when we destroy a piece of his soul."
Harry Potter,He does.
Harry Potter,It's the snake. She's the last one. The last Horcrux.
Harry Potter,No. He'll keep her close.
Harry Potter,I know where he is.
Harry Potter,Give me something! Quickly! A flask! Anything.
Harry Potter,I'm going there now.
Harry Potter,It's... meant to be.
Harry Potter,There's a reason I can... hear them -- the Horcruxes.
Harry Potter,I think I've known for awhile.
Harry Potter,Kill the snake. Kill the snake and then it's just him. Then it will be over.
Harry Potter,Why are you here? All of you?
Harry Potter,Does it hurt? Dying?
Harry Potter,"I'm sorry. I didn't want any of you to die for me. And Remus, your son..."
Harry Potter,You'll stay with me?
Harry Potter,He won't be able to see you?
Harry Potter,Stay close to me.
Harry Potter,You weren't.
Harry Potter,"Sir, this, is this... I mean, forgive me, but you are dead, aren't you, sir?"
Harry Potter,Then... I'm dead too?
Harry Potter,Not?
Harry Potter,But I didn't defend myself. I let him kill me.
Harry Potter,"It's true, isn't it, sir? A bit of him lives in me, doesn't it?"
Harry Potter,And you knew this? That's why you were certain I wouldn't die?
Harry Potter,"Professor, is that -- ?"
Harry Potter,"Exactly where are we, sir?"
Harry Potter,It looks like King's Cross station -- only a lot cleaner. And without the trains.
Harry Potter,"Sir, why didn't you just tell me about the Deathly Hallows?"
Harry Potter,Sir --
Harry Potter,"You wanted to see Ariana again, didn't you, sir?"
Harry Potter,"I used the Stone as well, sir, only a little while ago when I entered the Forest. I saw my mum and dad, and Sirius and Lupin..."
Harry Potter,"I've got to go back, haven't I?"
Harry Potter,I've got a choice?
Harry Potter,And where would it take me?
Harry Potter,Voldemort's got the Elder Wand.
Harry Potter,And the snake lives.
Harry Potter,And I've nothing to kill it with.
Harry Potter,"With all due respect, sir, I think what we need here is a miracle."
Harry Potter,"Which would be, sir?"
Harry Potter,"Sir, my mother's Patronus. It was a doe, wasn't it? Just like Professor Snape's. Curious, don't you think?"
Harry Potter,Professor.
Harry Potter,Is this real? Or has this been happening inside my head?
Harry Potter,Confringo!
Harry Potter,The snake! We've got to kill the snake!
Harry Potter,Because I have something worth living for.
Harry Potter,Confringo!
Harry Potter,You were right.
Harry Potter,When you told Professor Snape it was failing you. It will always fail you.
Harry Potter,Together.
Harry Potter,I told you: it's useless to you.
Harry Potter,Because it answers to another.
Harry Potter,"When he killed Snape, he thought the wand would become his. But the thing is... it never belonged to Snape."
Harry Potter,It answers to me.
Harry Potter,"Well, it wasn't boring, was it?"
Harry Potter,Together?
Harry Potter,"There's nothing scary about thestrals. They're gentle things. Anyway, you won't be going up to school in the carriages. You/'be going in the boats, remember?"
Harry Potter,Yes?
Harry Potter,Albus Severus Potter. You were named after two Headmasters of Hogwarts. One of them was a Slytherin. And he was probably the bravest man I ever knew.
Harry Potter,"Then Slytherin House will have gained a wonderful wizard. But listen, if it means so much to you, you can choose Gryffindor. The Sorting Hat takes your choice into account."
Harry Potter,Really.
Harry Potter,Ready?
